"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F"
"21/06","Argentine","R.  Funes Mori","in","Everton","England","Villarreal","Spain",9,8,40,2018
"10/07","Mexique","Miguel Layún","in","Portugal","Other","Villarreal","Spain",4,101,40,2018
"14/07","Argentine","S.  Cáseres","in","Argentina","Other","Villarreal","Spain",10,105,40,2018
"16/08","Colombie","Carlos Bacca","in","AC Milan","Italy","Villarreal","Spain",7,41,40,2018
"07/01","Espagne","Vicente Iborra","in","Leicester","England","Villarreal","Spain",10,11,40,2018
"15/08","Uruguay","Diego Laxalt","in","Genoa","Italy","AC Milan","Italy",14,50,41,2018
"17/08","Espagne","S.  Castillejo","in","Villarreal","Spain","AC Milan","Italy",25,40,41,2018
"03/01","Brésil","Lucas Paqueta","in","Brazil","Other","AC Milan","Italy",35,103,41,2018
"23/01","Pologne","K.  Piatek","in","Genoa","Italy","AC Milan","Italy",35,50,41,2018
"28/05","Croatie","Ante Coric","in","Croatia","Other","AS Roma","Italy",6,107,42,2018
"14/06","Pays-Bas","Justin Kluivert","in","Netherlands","Other","AS Roma","Italy",20,104,42,2018
"25/06","Argentine","Javier Pastore","in","Paris S-G","France","AS Roma","Italy",20,75,42,2018
"01/07","Italie","Bryan Cristante","in","Atalanta","Italy","AS Roma","Italy",21,43,42,2018
"01/07","République tchèque","Patrik Schick","in","Sampdoria","Italy","AS Roma","Italy",14,56,42,2018
"07/07","Brésil","Daniel Fuzato","in","Brazil","Other","AS Roma","Italy",0.5,103,42,2018
"24/07","Suède","Robin Olsen","in","Denmark","Other","AS Roma","Italy",8.5,108,42,2018
"14/08","France","Steven N'Zonzi","in","Sevilla FC","Spain","AS Roma","Italy",30,29,42,2018
"29/01","Brésil","Roger","in","Brazil","Other","Atalanta","Italy",4,103,43,2018
"21/06","Paraguay","F.  Santander","in","Denmark","Other","Bologna","Italy",6,108,44,2018
"22/06","Pologne","L.  Skorupski","in","AS Roma","Italy","Bologna","Italy",9,42,44,2018
"04/07","Italie","D.  Falcinelli","in","Sassuolo","Italy","Bologna","Italy",10,57,44,2018
"05/07","Suède","M.  Svanberg","in","Sweden","Other","Bologna","Italy",5,111,44,2018
"04/01","Italie","Nicola Sansone","in","Villarreal","Spain","Bologna","Italy",8,40,44,2018
"04/01","Italie","Roberto Soriano","in","Torino","Italy","Bologna","Italy",8,59,44,2018
"27/07","Croatie","Filip Bradaric","in","Croatia","Other","Cagliari","Italy",4.5,107,45,2018
"17/08","Estonie","Ragnar Klavan","in","Liverpool","England","Cagliari","Italy",1.3,12,45,2018
"31/01","Italie","F.  Cacciatore","in","Chievo Verona","Italy","Cagliari","Italy",0.8,46,45,2018
"17/08","Ghana","Afriyie Acquah","in","Torino","Italy","Empoli","Italy",1,59,47,2018
"17/08","Turquie","Ucan Salih","in","Turkey","Other","Empoli","Italy",1,102,47,2018
"01/07","France","Vincent Laurini","in","Empoli","Italy","Fiorentina","Italy",2,47,48,2018
"02/07","France","Alban Lafont","in","Toulouse FC","France","Fiorentina","Italy",7,80,48,2018
"19/07","Danemark","C.  Norgaard","in","Denmark","Other","Fiorentina","Italy",3.5,108,48,2018
"15/01","Côte d'Ivoire","H. J.  Traoré","in","Empoli","Italy","Fiorentina","Italy",15,47,48,2018
"17/08","Italie","Marco Capuano","in","Cagliari","Italy","Frosinone","Italy",1,45,49,2018
"09/07","Italie","Luca Mazzitelli","in","Sassuolo","Italy","Genoa","Italy",8,57,50,2018
"08/08","Italie","Andrea Favilli","in","Juventus","Italy","Genoa","Italy",7,52,50,2018
"17/08","Italie","G.  Lapadula","in","AC Milan","Italy","Genoa","Italy",11,41,50,2018
"07/01","Brésil","Jandrei","in","Brazil","Other","Genoa","Italy",2.4,103,50,2018
"24/01","Italie","Stefano Sturaro","in","Portugal","Other","Genoa","Italy",16.5,101,50,2018
"29/01","Danemark","Lukas Lerager","in","Bordeaux","France","Genoa","Italy",6,63,50,2018
"31/01","Serbie","I.  Radovanovic","in","Chievo Verona","Italy","Genoa","Italy",4,46,50,2018
"26/06","Belgique","R.  Nainggolan","in","AS Roma","Italy","Inter Milan","Italy",38,42,51,2018
"01/07","Italie","Matteo Politano","in","Sassuolo","Italy","Inter Milan","Italy",20,57,51,2018
"04/07","Argentine","L.  Martínez","in","Argentina","Other","Inter Milan","Italy",23,105,51,2018
"08/06","Italie","Mattia Perin","in","Genoa","Italy","Juventus","Italy",12,50,52,2018
"27/06","Portugal","Joao Cancelo","in","Inter Milan","Italy","Juventus","Italy",40.4,51,52,2018
"01/07","Brésil","Douglas Costa","in","Bayern Munich","Germany","Juventus","Italy",46,83,52,2018
"10/07","Portugal","C.  Ronaldo","in","Real Madrid","Spain","Juventus","Italy",117,37,52,2018
"29/01","Uruguay","M.  Cáceres","in","Lazio","Italy","Juventus","Italy",0.6,53,52,2018
"22/06","Danemark","Riza Durmisi","in","Real Betis","Spain","Lazio","Italy",6.5,24,53,2018
"03/07","Kosovo","Valon Berisha","in","Austria","Other","Lazio","Italy",7.5,110,53,2018
"11/07","Italie","F.  Acerbi","in","Sassuolo","Italy","Lazio","Italy",10,57,53,2018
"31/07","Argentine","Joaquin Correa","in","Sevilla FC","Spain","Lazio","Italy",15,29,53,2018
"01/07","Italie","Simone Verdi","in","Bologna","Italy","Napoli","Italy",25,44,54,2018
"01/07","Brésil","Vinícius","in","Portugal","Other","Napoli","Italy",4,101,54,2018
"05/07","Grèce","O.  Karnezis","in","Udinese","Italy","Napoli","Italy",2.5,60,54,2018
"05/07","Italie","Alex Meret","in","SPAL","Italy","Napoli","Italy",27,58,54,2018
"05/07","Espagne","Fabián Ruiz","in","Real Betis","Spain","Napoli","Italy",30,24,54,2018
"08/08","France","Kévin Malcuit","in","Lille","France","Napoli","Italy",12,67,54,2018
"17/08","Colombie","David Ospina","in","Arsenal","England","Napoli","Italy",3.5,1,54,2018
"07/08","France","J.  Biabiany","in","Inter Milan","Italy","Parma","Italy",1.5,51,55,2018
"14/06","Italie","Alex Ferrari","in","Bologna","Italy","Sampdoria","Italy",4.5,44,56,2018
"19/06","Gambie","Omar Colley","in","Belgium","Other","Sampdoria","Italy",7.8,100,56,2018
"06/07","République tchèque","Jakub Jankto","in","Udinese","Italy","Sampdoria","Italy",15,60,56,2018
"17/07","Italie","Emil Audero","in","Juventus","Italy","Sampdoria","Italy",20,52,56,2018
"24/07","France","G.  Defrel","in","AS Roma","Italy","Sampdoria","Italy",20,42,56,2018
"11/01","Italie","M.  Gabbiadini","in","Southampton","England","Sampdoria","Italy",14,16,56,2018
"04/07","Italie","Di Francesco","in","Bologna","Italy","Sassuolo","Italy",10,44,57,2018
"17/07","Maroc","Mehdi Bourabia","in","Turkey","Other","Sassuolo","Italy",2.3,102,57,2018
"13/08","Italie","M.  Locatelli","in","AC Milan","Italy","Sassuolo","Italy",10,41,57,2018
"16/08","Brésil","Marlon","in","FC Barcelona","Spain","Sassuolo","Italy",6,28,57,2018
"30/01","Turquie","Merih Demiral","in","Turkey","Other","Sassuolo","Italy",7,102,57,2018
"01/07","Sénégal","Alfred Gomis","in","Torino","Italy","SPAL","Italy",1.5,59,58,2018
"01/07","Slovénie","Jasmin Kurtic","in","Atalanta","Italy","SPAL","Italy",4.8,43,58,2018
"19/07","Italie","Andrea Petagna","in","Atalanta","Italy","SPAL","Italy",12,43,58,2018
"13/08","Italie","S.  Missiroli","in","Sassuolo","Italy","SPAL","Italy",2.5,57,58,2018
"16/08","Italie","M.  Valdifiori","in","Torino","Italy","SPAL","Italy",1,59,58,2018
"04/07","Italie","Armando Izzo","in","Genoa","Italy","Torino","Italy",8,50,59,2018
"10/07","Brésil","Bremer","in","Brazil","Other","Torino","Italy",5.8,103,59,2018
"10/07","France","S.  Meïté","in","Monaco","France","Torino","Italy",10,70,59,2018
"17/08","Côte d'Ivoire","Koffi Djidji","in","Nantes","France","Torino","Italy",4.5,72,59,2018
"17/08","Italie","Simone Zaza","in","Valencia CF","Spain","Torino","Italy",12,30,59,2018
"17/07","Argentine","I.  Pussetto","in","Argentina","Other","Udinese","Italy",8,105,60,2018
"26/07","Italie","R.  Mandragora","in","Juventus","Italy","Udinese","Italy",20,52,60,2018
"17/08","Nigeria","Troost-Ekong","in","Turkey","Other","Udinese","Italy",3.3,102,60,2018
"04/07","Colombie","Juan Otero","in","Argentina","Other","Amiens","France",2.1,105,61,2018
"23/08","Iran","Saman Ghoddos","in","Sweden","Other","Amiens","France",4,111,61,2018
"13/07","RD Congo","H.  Manzala","in","Amiens","France","Angers","France",1,61,62,2018
"06/08","Nigeria","Samuel Kalu","in","Belgium","Other","Bordeaux","France",8.5,100,63,2018
"08/08","Croatie","Toma Basic","in","Croatia","Other","Bordeaux","France",3.5,107,63,2018
"04/07","Tchad","Casimir Ninga","in","Montpellier","France","Caen","France",2,71,64,2018
"24/07","Maroc","Yacine Bammou","in","Nantes","France","Caen","France",2,72,64,2018
"03/08","Maroc","Fayçal Fajr","in","Getafe","Spain","Caen","France",2,32,64,2018
"28/08","France","G.  Fofana","in","Amiens","France","Guingamp","France",1,61,66,2018
"02/07","France","Jonathan Ikoné","in","Paris S-G","France","Lille","France",5,75,67,2018
"08/07","Turquie","Zeki Celik","in","Turkey","Other","Lille","France",0.8,102,67,2018
"31/01","Mozambique","Reinildo","in","Portugal","Other","Lille","France",3,101,67,2018
"01/07","France","Martin Terrier","in","Lille","France","Lyon","France",11,67,68,2018
"02/07","France","Tanguy Ndombele","in","Amiens","France","Lyon","France",10,61,68,2018
"21/08","Belgique","Jason Denayer","in","Manchester City","England","Lyon","France",6.5,13,68,2018
"20/07","Croatie","Duje Caleta-Car","in","Austria","Other","Marseille","France",19,110,69,2018
"28/08","Pays-Bas","Kevin Strootman","in","AS Roma","Italy","Marseille","France",25,42,69,2018
"19/06","France","Willem Geubbels","in","Lyon","France","Monaco","France",20,68,70,2018
"06/07","Guinée-Bissau","Judilson Pelé","in","Portugal","Other","Monaco","France",10,101,70,2018
"10/07","Italie","Antonio Barreca","in","Torino","Italy","Monaco","France",12,59,70,2018
"24/07","Côte d'Ivoire","J.-E. Aholou","in","Strasbourg","France","Monaco","France",14,79,70,2018
"27/07","Russie","A.  Golovin","in","Russia","Other","Monaco","France",30,109,70,2018
"28/08","Allemagne","B.  Henrichs","in","Bayer Leverkusen","Germany","Monaco","France",20,82,70,2018
"02/01","Brésil","Naldo","in","Schalke 04","Germany","Monaco","France",2,95,70,2018
"10/01","France","Ballo-Touré","in","Lille","France","Monaco","France",11,67,70,2018
"01/07","Uruguay","Facundo Píriz","in","Russia","Other","Montpellier","France",1,109,71,2018
"24/07","Algérie","Andy Delort","in","Toulouse FC","France","Montpellier","France",5,80,71,2018
"16/08","France","Gaëtan Laborde","in","Bordeaux","France","Montpellier","France",5,63,71,2018
"12/01","Serbie","Mihailo Ristic","in","Russia","Other","Montpellier","France",1.2,109,71,2018
"27/07","Brésil","Lucas Evangelista","in","Portugal","Other","Nantes","France",4,101,72,2018
"23/08","Belgique","A.  Limbombe","in","Belgium","Other","Nantes","France",8,100,72,2018
"10/06","Brésil","Danilo","in","Portugal","Other","Nice","France",12,101,73,2018
"17/07","Algérie","Youcef Atal","in","Belgium","Other","Nice","France",3,100,73,2018
"13/08","France","Myziane Maolida","in","Lyon","France","Nice","France",10,68,73,2018
"17/07","France","Kylian Mbappé","in","Monaco","France","Paris S-G","France",180,70,75,2018
"16/08","Allemagne","Thilo Kehrer","in","Schalke 04","Germany","Paris S-G","France",37,95,75,2018
"31/08","Espagne","Juan Bernat","in","Bayern Munich","Germany","Paris S-G","France",5,83,75,2018
"29/01","Argentine","Leandro Paredes","in","Russia","Other","Paris S-G","France",47,109,75,2018
"22/06","Côte d'Ivoire","Konan","in","Portugal","Other","Reims","France",2,101,76,2018
"31/08","Belgique","Thomas Foket","in","Belgium","Other","Reims","France",3.5,100,76,2018
"26/01","Kosovo","Arber Zeneli","in","Netherlands","Other","Reims","France",4,104,76,2018
"12/06","France","J.  Siebatcheu","in","Reims","France","Rennes","France",12,76,77,2018
"21/06","France","Del Castillo","in","Lyon","France","Rennes","France",2,68,77,2018
"24/07","France","C.  Grenier","in","Guingamp","France","Rennes","France",4,66,77,2018
"30/08","Sénégal","Mbaye Niang","in","Torino","Italy","Rennes","France",15,59,77,2018
"15/01","Côte d'Ivoire","S.  Doumbia","in","Switzerland","Other","Rennes","France",3,106,77,2018
"16/08","France","Rémy Cabella","in","Marseille","France","Saint-Etienne","France",5,69,78,2018
"05/06","Serbie","Stefan Mitrovic","in","Belgium","Other","Strasbourg","France",3,100,79,2018
"26/07","Belgique","Matz Sels","in","Newcastle United","England","Strasbourg","France",4,15,79,2018
"17/08","France","Lionel Carole","in","Turkey","Other","Strasbourg","France",0.75,102,79,2018
"30/08","Afrique du Sud","Lebo Mothiba","in","Lille","France","Strasbourg","France",4,67,79,2018
"28/06","France","Baptiste Reynet","in","Dijon","France","Toulouse FC","France",4,65,80,2018
"01/07","Côte d'Ivoire","M.-A. Gradel","in","Bournemouth","England","Toulouse FC","France",2,2,80,2018
"01/07","Belgique","A.  Leya Iseka","in","Belgium","Other","Toulouse FC","France",1.3,100,80,2018
"01/07","RD Congo","Firmin Mubele","in","Rennes","France","Toulouse FC","France",5,77,80,2018
"02/07","Trinité et Tobago","John Bostock","in","Turkey","Other","Toulouse FC","France",0.7,102,80,2018
"01/07","Finlande","Fredrik Jensen","in","Netherlands","Other","Augsburg","Germany",3,104,81,2018
"15/07","Brésil","Paulinho","in","Brazil","Other","Bayer Leverkusen","Germany",26.4,103,82,2018
"07/06","Danemark","Thomas Delaney","in","Werder Bremen","Germany","Dortmund","Germany",20,97,84,2018
"26/06","France","Abdou Diallo","in","Mainz","Germany","Dortmund","Germany",28,92,84,2018
"01/07","Allemagne","Marius Wolf","in","E Francfort","Germany","Dortmund","Germany",5,87,84,2018
"06/08","Belgique","Axel Witsel","in","China","Other","Dortmund","Germany",20,99,84,2018
"28/08","Espagne","Paco Alcácer","in","FC Barcelona","Spain","Dortmund","Germany",23,28,84,2018
"14/01","Argentine","L.  Balerdi","in","Argentina","Other","Dortmund","Germany",15,105,84,2018
"29/06","Suisse","Michael Lang","in","Switzerland","Other","M'gladbach","Germany",2.8,106,85,2018
"13/07","France","Alassane Pléa","in","Nice","France","M'gladbach","Germany",25,73,85,2018
"01/07","Danemark","F.  Rönnow","in","Denmark","Other","E Francfort","Germany",2.8,108,87,2018
"31/01","Mali","Almamy Touré","in","Monaco","France","E Francfort","Germany",0.75,70,87,2018
"01/07","Allemagne","Jerôme Gondorf","in","Werder Bremen","Germany","Freiburg","Germany",1.3,97,88,2018
"01/07","Japon","Genki Haraguchi","in","Düsseldorf","Germany","Hannover 96","Germany",4.5,86,89,2018
"01/07","Autriche","V.  Lazaro","in","Austria","Other","Hertha Berlin","Germany",7,110,90,2018
"01/07","Italie","Vincenzo Grifo","in","M'gladbach","Germany","Hoffenheim","Germany",5.5,85,91,2018
"25/07","Ghana","Kasim Nuhu","in","Switzerland","Other","Hoffenheim","Germany",8,106,91,2018
"28/06","France","J.-P. Mateta","in","Lyon","France","Mainz","Germany",10,68,92,2018
"05/08","Espagne","Aarón Martín","in","Espanyol","Spain","Mainz","Germany",10,27,92,2018
"27/08","Pays-Bas","J.-P. Boëtius","in","Netherlands","Other","Mainz","Germany",3.5,104,92,2018
"12/06","Uruguay","M.  Saracchi","in","Argentina","Other","RB Leipzig","Germany",13.5,105,94,2018
"24/06","Brésil","Matheus Cunha","in","Switzerland","Other","RB Leipzig","Germany",15,106,94,2018
"01/07","France","Nordi Mukiele","in","Montpellier","France","RB Leipzig","Germany",16,71,94,2018
"01/01","Mali","Amadou Haidara","in","Austria","Other","RB Leipzig","Germany",18,110,94,2018
"01/07","Sénégal","Salif Sané","in","Hannover 96","Germany","Schalke 04","Germany",8,89,95,2018
"01/07","Allemagne","Suat Serdar","in","Mainz","Germany","Schalke 04","Germany",11,92,95,2018
"02/07","Espagne","Omar Mascarell","in","Real Madrid","Spain","Schalke 04","Germany",10,37,95,2018
"17/08","Maroc","Hamza Mendyl","in","Lille","France","Schalke 04","Germany",6,67,95,2018
"28/08","Allemagne","Sebastian Rudy","in","Bayern Munich","Germany","Schalke 04","Germany",16,83,95,2018
"29/06","Allemagne","Gonzalo Castro","in","Dortmund","Germany","Stuttgart","Germany",5,84,96,2018
"01/07","Espagne","Pablo Maffeo","in","Manchester City","England","Stuttgart","Germany",10,13,96,2018
"01/07","Croatie","Borna Sosa","in","Croatia","Other","Stuttgart","Germany",8,107,96,2018
"10/07","Argentine","N.  González","in","Argentina","Other","Stuttgart","Germany",8.5,105,96,2018
"17/01","Turquie","Ozan Kabak","in","Turkey","Other","Stuttgart","Germany",11,102,96,2018
"12/06","Suède","Felix Beijmo","in","Sweden","Other","Werder Bremen","Germany",3,111,97,2018
"01/07","Autriche","Martin Harnik","in","Hannover 96","Germany","Werder Bremen","Germany",2,89,97,2018
"27/07","Pays-Bas","Davy Klaassen","in","Everton","England","Werder Bremen","Germany",13.5,8,97,2018
"31/08","Turquie","Nuri Sahin","in","Dortmund","Germany","Werder Bremen","Germany",1,84,97,2018
"26/06","Pays-Bas","Wouter Weghorst","in","Netherlands","Other","Wolfsburg","Germany",11,104,98,2018
"29/06","Allemagne","Daniel Ginczek","in","Stuttgart","Germany","Wolfsburg","Germany",10,96,98,2018
"01/07","Autriche","Pavao Pervan","in","Austria","Other","Wolfsburg","Germany",0.8,110,98,2018
"06/08","France","J.  Roussillon","in","Montpellier","France","Wolfsburg","Germany",8,71,98,2018
"01/06","RD Congo","Benik Afobe","out","Bournemouth","England","Wolverhampton","England",14.5,2,20,2018
"15/06","Espagne","Angeliño","out","Manchester City","England","Netherlands","Other",5,13,104,2018
"16/07","Pays-Bas","Daley Blind","out","Man United","England","Netherlands","Other",16,14,104,2018
"23/07","RD Congo","Chancel Mbemba","out","Newcastle United","England","Portugal","Other",9,15,101,2018
"27/06","Serbie","Dusan Tadic","out","Southampton","England","Netherlands","Other",11.4,16,104,2018
"17/01","Belgique","Mousa Dembélé","out","Tottenham","England","China","Other",12,17,99,2018
"23/08","Belgique","Obbi Oularé","out","Watford","England","Belgium","Other",3,18,100,2018
"04/07","Belgique","Theo Bongonda","out","Celta Vigo","Spain","Belgium","Other",1.6,25,100,2018
"04/07","Chili","P.  Hernández","out","Celta Vigo","Spain","Argentina","Other",1.4,25,105,2018
"24/07","Espagne","Joni","out","Celta Vigo","Spain","Atlético Madrid","Spain",6.7,25,23,2018
"31/01","Brésil","Leo Baptistão","out","Espanyol","Spain","China","Other",6,27,99,2018
"08/07","Brésil","Paulinho","out","FC Barcelona","Spain","China","Other",47.5,28,99,2018
"03/07","Belgique","Zakaria Bakkali","out","Valencia CF","Spain","Belgium","Other",1,30,100,2018
"11/02","Ghana","E.  Boateng","out","Levante","Spain","China","Other",11,35,99,2018
"01/08","Paraguay","Gustavo Gómez","out","AC Milan","Italy","Brazil","Other",4.5,41,103,2018
"01/07","Italie","Mattia Caldara","out","Atalanta","Italy","Juventus","Italy",15,43,52,2018
"04/08","Croatie","Bruno Petkovic","out","Bologna","Italy","Croatia","Other",1.2,44,107,2018
"14/06","Belgique","Samuel Bastien","out","Chievo Verona","Italy","Belgium","Other",3,46,100,2018
"01/07","Italie","R.  Saponara","out","Empoli","Italy","Fiorentina","Italy",10.5,47,48,2018
"31/01","Slovénie","Miha Zajc","out","Empoli","Italy","Turkey","Other",6.5,47,102,2018
"07/06","Angola","Bruno Gaspar","out","Fiorentina","Italy","Portugal","Other",5,48,101,2018
"13/07","Italie","Eder","out","Inter Milan","Italy","China","Other",5,51,99,2018
"01/07","Italie","F.  Margiotta","out","Juventus","Italy","Switzerland","Other",1,52,106,2018
"01/07","Colombie","Duvan Zapata","out","Napoli","Italy","Sampdoria","Italy",20,54,56,2018
"14/02","Slovaquie","Marek Hamsik","out","Napoli","Italy","China","Other",15,54,99,2018
"22/06","Italie","E.  Viviano","out","Sampdoria","Italy","Portugal","Other",2,56,101,2018
"28/06","Brésil","Danilo Avelar","out","Torino","Italy","Brazil","Other",2,59,103,2018
"31/08","Serbie","Adem Ljajic","out","Torino","Italy","Turkey","Other",6.5,59,102,2018
"12/07","Suisse","Silvan Widmer","out","Udinese","Italy","Switzerland","Other",3.9,60,106,2018
"03/07","Croatie","Ivan Santini","out","Caen","France","Belgium","Other",3,64,100,2018
"26/06","France","Aldo Kalulu","out","Lyon","France","Switzerland","Other",2.1,68,106,2018
"31/08","France","Arnaud Souquet","out","Nice","France","Belgium","Other",3,73,100,2018
"24/07","Pologne","G.  Krychowiak","out","Paris S-G","France","Russia","Other",12.5,75,109,2018
"06/02","France","Antoine Bernede","out","Paris S-G","France","Austria","Other",3,75,110,2018
"17/06","Suisse","Saidy Janko","out","Saint-Etienne","France","Portugal","Other",3,78,101,2018
"09/02","Sénégal","Cheikh M'Bengue","out","Saint-Etienne","France","China","Other",4,78,99,2018
"09/02","Norvège","Ole Selnaes","out","Saint-Etienne","France","China","Other",5.5,78,99,2018
"30/01","Allemagne","Sandro Wagner","out","Bayern Munich","Germany","China","Other",5,83,99,2018
"11/06","Paraguay","Raúl Bobadilla","out","M'gladbach","Germany","Argentina","Other",1.8,85,105,2018
"01/07","Espagne","Omar Mascarell","out","E Francfort","Germany","Real Madrid","Spain",4,87,37,2018
"03/07","Bosnie-Herzégovine","Kenan Kodro","out","Mainz","Germany","Denmark","Other",1.6,92,108,2018
"31/08","Kosovo","Besar Halimi","out","Mainz","Germany","Denmark","Other",0.3,92,108,2018
"31/07","Allemagne","B.  Höwedes","out","Schalke 04","Germany","Russia","Other",5,95,109,2018
"02/07","Belgique","Nany Dimata","out","Wolfsburg","Germany","Belgium","Other",5,98,100,2018
